,Genre,ID,Title,TitleEnglish,Year
0,大人向けアニメ,70171942,アーチャー,Archer,2009
1,大人向けアニメ,80133764,ソウル・ステーション/パンデミック,Seoul Station,2016
2,大人向けアニメ,80174479,ファイナル・スペース,Final Space,2018
3,大人向けアニメ,80233883,紅き大魚の伝説,Big Fish & Begonia,2018
4,大人向けアニメ,80000768,キャプテンハーロック ～Space Pirate Captain Harlock～,Harlock: Space Pirate,2013
5,大人向けアニメ,70272458,ベオウルフ/呪われし勇者,Beowulf,2007
6,大人向けアニメ,80218634,スーパー・ドラァグ,Super Drags,2018
7,大人向けアニメ,80152350,ネオ・ヨキオ,Neo Yokio,2017
8,大人向けアニメ,70113538,9<ナイン> ～9番目の奇妙な人形～,9,2009
9,大人向けアニメ,80079265,ヘイロー: ザ・フォール・オブ・リーチ,Halo: The Fall of Reach,2015
10,大人向けアニメ,80004447,馬か騒ぎ,,1987
11,大人向けアニメ,70293419,フェイク~我は神なり,The Fake,2013
12,大人向けアニメ,80000063,レッド VS ブルー,Red vs. Blue,2003
13,大人向けアニメ,80019503,ボージャック・ホースマン 〜サブリナのクリスマスの願い,,2014
14,大人向けアニメ,80103666,テキサスタワー,Tower,2016
15,大人向けアニメ,80014749,リック・アンド・モーティ,Rick and Morty,2013
16,大人向けアニメ,70300800,ボージャック・ホースマン,BoJack Horseman,2014
17,大人向けアニメ,80117038,ビッグマウス,Big Mouth,2017
18,大人向けアニメ,80095697,魔法が解けて,Disenchantment,2018
19,大人向けアニメ,80028732,FはFamilyのF,F Is for Family,2015
20,大人向けアニメ,80191522,パラダイス警察,Paradise PD,2018
21,大人向けアニメ,70171942,アーチャー,,2009
22,大人向けアニメ,80174479,ファイナル・スペース,,2018
23,大人向けアニメ,80152350,ネオ・ヨキオ,,2017
24,大人向けアニメ,80004447,馬か騒ぎ,,1987
25,大人向けアニメ,80000063,レッド VS ブルー,,2003
26,大人向けアニメ,80019503,ボージャック・ホースマン 〜サブリナのクリスマスの願い,,2014
27,大人向けアニメ,80149259,GANTZ:O,Gantz: O,2016
28,大人向けアニメ,80098100,ソーセージ・パーティー,Sausage Party,2016
29,大人向けアニメ,70230410,大恐竜時代 タルボサウルスvsティラノサウルス,Speckles: The Tarbosaurus,2012
30,大人向けアニメ,80180373,GODZILLA 怪獣惑星,Godzilla: Planet of the Monsters,2017
31,大人向けアニメ,80198623,GODZILLA 星を喰う者,Godzilla: The Planet Eater,2018
32,大人向けアニメ,80180376,GODZILLA 決戦機動増殖都市,Godzilla: City on the Edge of Battle,2018
33,大人向けアニメ,80233883,紅き大魚の伝説,,2018
34,大人向けアニメ,80000768,キャプテンハーロック ～Space Pirate Captain Harlock～,,2013
35,大人向けアニメ,70272458,ベオウルフ/呪われし勇者,,2007
36,大人向けアニメ,70113538,9<ナイン> ～9番目の奇妙な人形～,,2009
37,大人向けアニメ,80079265,ヘイロー: ザ・フォール・オブ・リーチ,,2015
38,大人向けアニメ,80198505,アグレッシブ烈子,Aggretsuko,2018
39,大人向けアニメ,80161848,A.I.C.O. Incarnation,A.I.C.O. Incarnation,2018
40,大人向けアニメ,80039973,アクセル・ワールド,Accel World,2012
41,大人向けアニメ,80234491,詩季織々,Flavors of youth,2018
42,大人向けアニメ,80193591,Panty&Stocking with Garterbelt,Panty & Stocking with Garterbelt,2010
43,大人向けアニメ,81008536,アグレッシブ烈子：We Wish You a Metal Christmas,,2018
44,大人向けアニメ,80233883,紅き大魚の伝説,,2018
45,大人向けアニメ,80000768,キャプテンハーロック ～Space Pirate Captain Harlock～,,2013
