,Genre,ID,Title,TitleEnglish,Year
0,アニメ,80147557,金田一少年の事件簿,,1997
1,アニメ,80006146,Psycho-Pass サイコパス,Psycho-Pass,2012
2,アニメ,70213091,攻殻機動隊 STAND ALONE COMPLEX,Ghost in the Shell: Stand Alone Complex,2002
3,アニメ,80097594,B: The Beginning,B: The Beginning,2018
4,アニメ,70308852,ブラックラグーン,Black Lagoon,2006
5,アニメ,80182418,攻殻機動隊 S.A.C. 2nd GIG,Ghost in the Shell: S.A.C. 2nd GIG - Individual Eleven,2006
6,アニメ,80182423,Psycho-Pass 2 サイコパス,Psycho-Pass,2012
7,アニメ,80135750,ルパン三世 PART4,Lupin III,2015
8,アニメ,81036755,機動警察パトレイバー ON TELEVISION,Patlabor: The Mobile Police,1989
9,アニメ,80132126,文豪ストレイドッグス,Bungou Stray Dogs,2016
10,アニメ,80039972,TIGER & BUNNY,,2011
11,アニメ,81027161,DOUBLE DECKER! ダグ&キリル,Double Decker! Doug & Kirill,2018
12,アニメ,80132274,櫻子さんの足下には死体が埋まっている,Beautiful Bones: Sakurako's Investigation,2015
13,アニメ,80200027,HERO MASK,Hero Mask,2018
14,アニメ,80240055,金田一少年の事件簿 スペシャル,,1997
15,アニメ,80193395,文豪ストレイドッグス,Bungou Stray Dogs,2016
16,アニメ,80233450,博多豚骨ラーメンズ,Hakata Tonkotsu Ramens,2018
17,アニメ,80209888,GOSICK －ゴシック－,Gosick,2011
18,アニメ,80224215,ひぐらしのなく頃に解,,2007
19,アニメ,80040118,K,K,2012
20,アニメ,80990627,デビルズライン,Devils Line,2018
21,アニメ,80107991,攻殻機動隊 Arise Pyrophoric Cult,Ghost in the Shell Arise: Alternative Architecture,2015
22,アニメ,80107103,ワンピース,One Piece,1999
23,アニメ,80117291,ワンパンマン,One Punch Man,2015
24,アニメ,80117781,斉木楠雄のΨ難,,2016
25,アニメ,81028712,転生したらスライムだった件,That Time I Got Reincarnated as a Slime,2018
26,アニメ,80175351,賭ケグルイ,Kakegurui: Compulsive Gambler,2017
27,アニメ,80152850,クレヨンしんちゃん,,1992
28,アニメ,80025688,ドラえもん,,2005
29,アニメ,81010507,ドラゴンボール超,Dragon Ball Super,2015
30,アニメ,80018959,銀魂,Gintama,2005
31,アニメ,80179798,モブサイコ100,Mob Psycho 100,2016
32,アニメ,81061754,かぐや様は告らせたい～天才たちの恋愛頭脳戦～,Kaguya-sama: Love Is War,2019
33,アニメ,81028791,はたらく細胞,Cells at Work!,2018
34,アニメ,80050063,七つの大罪,Nanatsu no taizai,2014
35,アニメ,80992180,おしりたんてい,,2018
36,アニメ,70266998,Fairy Tail,Fairy Tail,2009
37,アニメ,80172949,キングダム,Kingdom,2012
38,アニメ,80063153,黒子のバスケ,,2012
39,アニメ,80986797,ピアノの森,Forest of Piano,2018
40,アニメ,81058649,盾の勇者の成り上がり,The Rising of the Shield Hero,2018
41,アニメ,80065146,コードギアス 反逆のルルーシュ,Code Geass: Lelouch of the Rebellion,2006
42,アニメ,70204995,犬夜叉,Inuyasha,2000
43,アニメ,80131659,Re：ゼロから始める異世界生活,Re: Zero - Starting Life in Another World,2016
44,アニメ,80182123,ヴァイオレット･エヴァーガーデン,Violet Evergarden,2018
45,アニメ,81006261,劇場版 七つの大罪 天空の囚われ人,,2018
46,アニメ,80174836,げんきげんきノンタン,,2002
47,アニメ,70204981,鋼の錬金術師 Fullmetal Alchemist,Fullmetal Alchemist: Brotherhood,2009
48,アニメ,81005375,幽遊白書,Yu Yu Hakusho: Ghost Files,1992
49,アニメ,81029064,ソードアート・オンライン アリシゼーション,,2018
50,アニメ,80132306,日常,,2011
51,アニメ,80147557,金田一少年の事件簿,,1997
52,アニメ,80185867,テニスの王子様,The Prince of Tennis,2001
53,アニメ,80228274,からかい上手の高木さん,Karakai Jouzu no Takagi-san,2018
54,アニメ,80203650,美味しんぼ【デジタルリマスター版】,,1988
55,アニメ,80173347,キングダム 第2シリーズ,,2013
56,アニメ,80992787,revisions,Revisions,2019
57,アニメ,70204957,BLEACH,Bleach,2004
58,アニメ,80090673,ハイキュー!!,Haikyuu!!,2014
59,アニメ,80147117,らんま1/2 デジタルリマスター版,,1989
60,アニメ,80203171,新あたしンち,Shin Atashinchi,2015
61,アニメ,80988576,キラキラ プリキュアアラモード,,2017
62,アニメ,81033796,火ノ丸相撲,,2018
63,アニメ,80996237,ゲゲゲの鬼太郎 (第6作),Gegege no Kitaro,2018
