,Genre,ID,Title,TitleEnglish,Year
0,コミック・スーパーヒーロー映画,70099111,ウォッチメン,Watchmen,2009
1,コミック・スーパーヒーロー映画,287357,バットマン リターンズ,Batman Returns,1992
2,コミック・スーパーヒーロー映画,70272458,ベオウルフ/呪われし勇者,Beowulf,2007
3,コミック・スーパーヒーロー映画,70242801,ジャッジ・ドレッド,Dredd,2012
4,コミック・スーパーヒーロー映画,70295173,ザ・ヘラクレス,The Legend of Hercules,2014
5,コミック・スーパーヒーロー映画,81019413,CUTIE HONEY －TEARS－,Cutie Honey: Tears,2016
6,コミック・スーパーヒーロー映画,70297461,クリッシュ,Krrish 3,2013
7,コミック・スーパーヒーロー映画,70055248,クリッシュ 仮面のヒーロー,Krrish,2006
8,コミック・スーパーヒーロー映画,80187362,ジャスティス・リーグ,Justice League,2017
9,コミック・スーパーヒーロー映画,80157091,ワンダーウーマン,Wonder Woman,2017
10,コミック・スーパーヒーロー映画,80144309,パワーレンジャー,Power Rangers,2017
11,コミック・スーパーヒーロー映画,70079583,ダークナイト,The Dark Knight,2008
12,コミック・スーパーヒーロー映画,70213514,ダークナイト ライジング,The Dark Knight Rises,2012
13,コミック・スーパーヒーロー映画,70021642,バットマン ビギンズ,Batman Begins,2005
14,コミック・スーパーヒーロー映画,70099111,ウォッチメン,,2009
15,コミック・スーパーヒーロー映画,70178615,ゴーストライダー2,Ghost Rider: Spirit of Vengeance,2011
16,コミック・スーパーヒーロー映画,70291118,HK/変態仮面,HK,2013
17,コミック・スーパーヒーロー映画,80178903,HK/変態仮面 アブノーマル・クライシス,Hentai Kamen,2016
18,コミック・スーパーヒーロー映画,287357,バットマン リターンズ,,1992
19,コミック・スーパーヒーロー映画,80160346,ザ・セイント,The Saint,2017
20,コミック・スーパーヒーロー映画,70272458,ベオウルフ/呪われし勇者,,2007
21,コミック・スーパーヒーロー映画,70242801,ジャッジ・ドレッド,,2012
22,コミック・スーパーヒーロー映画,70295173,ザ・ヘラクレス,,2014
23,コミック・スーパーヒーロー映画,459093,龍拳,Dragon Fist,1979
24,コミック・スーパーヒーロー映画,81019413,CUTIE HONEY －TEARS－,,2016
25,コミック・スーパーヒーロー映画,70297461,クリッシュ,,2013
26,コミック・スーパーヒーロー映画,70055248,クリッシュ 仮面のヒーロー,,2006
