,Genre,ID,Title,TitleEnglish,Year
0,武術映画,80076698,イップ・マン 継承,Ip Man,2015
1,武術映画,81000511,リベンジャー 無敵の復讐心,Revenger,2019
2,武術映画,70049059,香港国際警察/New Police Story,New Police Story,2004
3,武術映画,80094520,三国志英傑伝 関羽,The Lost Bladesman,2011
4,武術映画,70118799,イップ・マン序章,Ip Man,2008
5,武術映画,60034375,ツインズ・エフェクト,The Twins Effect,2003
6,武術映画,28369636,プロジェクトA,Project A,1983
7,武術映画,9366369,ドラゴン怒りの鉄拳,Fist of Fury,1972
8,武術映画,60020726,ドラゴンへの道,The Way of the Dragon,1972
9,武術映画,70025372,花都大戦 ツインズ・エフェクトII,The Twins Effect II,2004
10,武術映画,80148162,シャドー・オブ・ナイト,The Night Comes for Us,2018
11,武術映画,70137753,イップ・マン 葉問,Ip Man 2,2010
12,武術映画,80992155,少林寺木人拳,Shaolin Wooden Men,1976
13,武術映画,17371369,スパルタンX,Wheels on Meals,1984
14,武術映画,70056056,ポリス・ストーリー/香港国際警察,Police Story,1985
15,武術映画,70295074,ライジング・ドラゴン,Chinese Zodiac,2012
16,武術映画,17742359,プロジェクトＡ2/史上最大の標的,Project A 2,1987
17,武術映画,7929766,ポリス・ストーリー3,Police Story 3,1992
18,武術映画,80028532,ポリス・ストーリー/レジェンド,Police Story,2013
19,武術映画,70306400,カンフー・ジャングル,Kung Fu Jungle,2014
20,武術映画,80992152,クレージーモンキー/笑拳,The Fearless Hyena,1979
21,武術映画,60002462,奇蹟 ミラクル,Mr. Canton & Lady Rose,1989
22,武術映画,990119,拳精,Spiritual Kung-Fu,1978
23,武術映画,7774426,チャイニーズ・オデッセイ 其の弐,A Chinese Odyssey: Part Two,1995
24,武術映画,497650,プロジェクト・イーグル,Armour of God,1991
25,武術映画,459093,龍拳,Dragon Fist,1979
26,武術映画,60030171,新ポリス・ストーリー,Crime Story,1993
27,武術映画,70199741,新少林寺 / SHAOLIN,Shaolin,2011
28,武術映画,80109145,ヘッド・ショット,Headshot,2016
29,武術映画,17371389,サイクロンZ,Dragons Forever,1988
30,武術映画,70060917,ポリス・ストーリー2 九龍の眼,Police Story 2,1988
31,武術映画,80039662,阿羅漢,Martial Arts of Shaolin,1986
32,武術映画,70001133,ドラゴン危機一発,The Big Boss,1971
33,武術映画,70144642,死亡遊戯,Game of Death,1978
34,武術映画,70286352,葉問 イップ・マン最終章,Ip Man: The Final Fight,2013
35,武術映画,70062784,少林寺三十六房,The 36th Chamber of Shaolin,1978
36,武術映画,60037663,ヤング・マスター / 師弟出馬,The Young Master,1980
37,武術映画,20804979,サンダーアーム/龍兄虎弟,Armour of God,1986
38,武術映画,80992156,醒拳,Fearless Hyena 2,1983
39,武術映画,70026792,最強の出前人,Love on Delivery,1994
40,武術映画,786757,香港発活劇エクスプレス 大福星,My Lucky Stars,1985
41,武術映画,80117585,モンキー・マジック 孫悟空誕生,The Monkey King,2014
42,武術映画,60028539,燃えよデブゴン4/ピックポケット!,,1982
43,武術映画,60023374,プロテクター,The Protector,1985
44,武術映画,70242525,TAICHI/太極 ゼロ,Tai Chi Zero,2012
45,武術映画,976065,蛇鶴八拳,Snake and Crane Arts of Shaolin,1978
46,武術映画,60035342,ドラゴンロード,Dragon Lord,1982
47,武術映画,70130432,続・少林寺三十六房,Return to the 36th Chamber,1980
48,武術映画,374329,チャイニーズ・オデッセイ 其の壱,A Chinese Odyssey Part One,1995
49,武術映画,60001377,五毒拳,Five Deadly Venoms,1978
